"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"59783","LYZ.25",4.62873403056969e-124,0.702086128401644,0.913,0.491,1.14473221310019e-119,31,"LYZ","Myeloid"
"59828","CXCR4.22",1.63162887272567e-74,-4.38188420264011,0.033,0.441,4.03518136513786e-70,31,"CXCR4","B"
"56580","KRT18.16",8.30835450932074e-307,2.07493409937717,0.955,0.284,2.05473915370011e-302,30,"KRT18","Epithelial"
"56677","KRT19.18",6.24029842137828e-253,1.71241027661141,0.95,0.305,1.54328820259106e-248,30,"KRT19","Epithelial"
"56409","SPINK1.5",0,1.55454950925782,0.949,0.205,0,30,"SPINK1","Epithelial"
"56671","KRT8.17",6.06931269418506e-255,1.54173970556424,0.937,0.272,1.50100172239891e-250,30,"KRT8","Epithelial"
"57340","PDGFA.7",3.58731089651832e-115,1.18373118692285,0.491,0.146,8.87177857817946e-111,30,"PDGFA","Fibroblasts"
"57654","MUC1.13",5.93750677028729e-95,0.322278662059437,0.735,0.265,1.46840479935975e-90,30,"MUC1","Epithelial"
"58121","LYZ.24",3.04848284394619e-74,0.194150316507057,0.908,0.491,7.53920292136331e-70,30,"LYZ","Myeloid"
"56663","PRSS1.1",1.08602648691209e-257,-2.48929751393154,0.5,0.085,2.68585210478228e-253,30,"PRSS1","Epithelial"
"49587","KRT18.15",0,3.18720672836078,0.998,0.283,0,29,"KRT18","Epithelial"
"49565","KRT8.16",0,2.49535236752075,0.994,0.27,0,29,"KRT8","Epithelial"
"49540","MUC1.12",0,2.42997979956337,0.991,0.261,0,29,"MUC1","Epithelial"
"49634","KRT19.17",0,2.39171662172589,0.997,0.304,0,29,"KRT19","Epithelial"
"52638","PDGFA.6",1.12612475977108e-150,0.464675674755034,0.558,0.145,2.78501914338986e-146,29,"PDGFA","Fibroblasts"
"55776","ITGAE.3",3.97345582476942e-41,-0.801775108750294,0.548,0.236,9.82675360023726e-37,29,"ITGAE","DCs"
"55865","HLA-DRA.16",4.70692453696072e-37,-2.35730042955083,0.913,0.448,1.16406950723575e-32,29,"HLA-DRA","Myeloid"
"55923","IGFBP7.5",4.02017840047187e-34,-3.53470875029149,0.457,0.206,9.94230320220699e-30,29,"IGFBP7","Fibroblasts"
"52471","COL1A1.3",1.65544204573367e-157,-3.99415882240411,0.547,0.132,4.09407372330394e-153,29,"COL1A1","Fibroblasts"
"55018","CXCR4.21",3.21115001066723e-68,-6.07988837515997,0.123,0.44,7.94149509138113e-64,29,"CXCR4","B"
"44548","MUC1.11",0,3.08302448121476,0.995,0.26,0,28,"MUC1","Epithelial"
"44633","SPINK1.4",0,2.74715342012385,0.882,0.205,0,28,"SPINK1","Epithelial"
"44538","TFF1.3",0,2.71990082484589,0.911,0.168,0,28,"TFF1","Epithelial"
"44703","PDGFA.5",0,2.43626575466652,0.783,0.142,0,28,"PDGFA","Fibroblasts"
"44608","KRT19.16",0,1.94416779129137,0.998,0.304,0,28,"KRT19","Epithelial"
"44584","KRT8.15",0,1.91185310541999,0.979,0.27,0,28,"KRT8","Epithelial"
"45206","KRT18.14",1.27865430451528e-302,1.19118533034285,0.977,0.283,3.16223996049189e-298,28,"KRT18","Epithelial"
"45832","LYZ.22",5.68177415799653e-178,0.834389398174981,0.992,0.489,1.40515956701412e-173,28,"LYZ","Myeloid"
"48720","CLU.5",4.20464210326599e-41,-1.27586959097248,0.511,0.223,1.03985003855871e-36,28,"CLU","Epithelial"
"43499","MKI67",0,6.30589299618613,0.655,0.018,0,27,"MKI67","Epithelial"
"43502","TOP2A",0,5.66504955013666,0.618,0.021,0,27,"TOP2A","T_NK"
"43984","NKG7.2",4.20689872230303e-83,1.35257840971086,0.391,0.138,1.04040812301276e-78,27,"NKG7","T_NK"
"43895","ITGAE.2",7.38191871780793e-101,1.33102356499509,0.571,0.235,1.82562231810108e-96,27,"ITGAE","DCs"
"44465","CXCR4.20",6.02314493056781e-29,0.296900611668755,0.689,0.432,1.48958397277873e-24,27,"CXCR4","B"
"44406","CD69.6",3.75665291676821e-43,0.287085562733155,0.49,0.235,9.29057832845946e-39,27,"CD69","T_NK"
"37127","KRT19.15",0,3.11219177368119,1,0.302,0,26,"KRT19","Epithelial"
"37069","KRT8.14",0,1.83565217568621,0.989,0.269,0,26,"KRT8","Epithelial"
"37113","MUC1.10",0,1.63832421934039,0.961,0.259,0,26,"MUC1","Epithelial"
"37098","KRT18.13",0,1.23846659426144,0.989,0.281,0,26,"KRT18","Epithelial"
"37599","PDGFA.4",0,1.16546107068818,0.701,0.142,0,26,"PDGFA","Fibroblasts"
"38064","CDH11.2",0,0.556032759428047,0.384,0.041,0,26,"CDH11","Fibroblasts"
"42267","CLU.4",7.32524788803147e-91,-1.40536103346393,0.623,0.22,1.81160705518906e-86,26,"CLU","Epithelial"
"41592","IGFBP7.4",7.59912922244331e-119,-2.25980453324781,0.592,0.203,1.87934064800246e-114,26,"IGFBP7","Fibroblasts"
"40624","COL1A1.2",4.04378953926043e-154,-2.56362934637105,0.495,0.132,1.0000695909545e-149,26,"COL1A1","Fibroblasts"
"42147","CXCR4.19",9.84429066190907e-96,-6.63856774946491,0.068,0.442,2.43459152359673e-91,26,"CXCR4","B"
"42462","HLA-DRA.14",8.56871612921232e-80,-6.84290674727855,0.148,0.459,2.1191291859155e-75,26,"HLA-DRA","Myeloid"
"36642","PRF1.1",0,5.45681137554957,0.948,0.08,0,25,"PRF1","T_NK"
"36703","NCAM1",0,5.07281438578392,0.267,0.01,0,25,"NCAM1","T_NK"
"36643","NKG7.1",0,5.06042332469098,0.995,0.128,0,25,"NKG7","T_NK"
"36646","GZMB.1",0,4.99378505004662,0.897,0.066,0,25,"GZMB","T_NK"
"36662","FCGR3A.3",0,2.67394714444536,0.811,0.157,0,25,"FCGR3A","Myeloid"
"36750","TIGIT.1",4.65346779959712e-191,2.1280518676057,0.332,0.064,1.15084912151836e-186,25,"TIGIT","T_NK"
